"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"community [sociol.] [die Europäische Gemeinschaft--the European Community; örtliche Gemeinschaft--local residential community; virtuelle Gemeinschaft--virtual community; sich als Teil der Gemeinschaft fühlen--to feel part of the community] [z.B. 'Erst am Mittwoch hatte der Außenminister der international anerkannten Regierung Mohammed Dairi die internationale Gemeinschaft um Unterstützung beim Kampf gegen radikale Islamisten gebeten.']","die Abteilung (Pl.: die Abteilungen)	"
"department [in Firma, Kaufhaus, Hochschule] [PR-Abteilung--PR department; technische Abteilung--engineering department; Leiter {m} einer Abteilung--manager of a department]","die Volksvertretung (Pl.: die Volksvertretungen)"
"parliament [pol.]","das Abkommen (Pl.: die Abkommen)	"
"agreement [bilaterales Abkommen--bilateral agreement [pol.]; ein Abkommen schließen--to conclude an agreement; unserem Abkommen gemäß or entsprechend--pursuant to our agreement]","die Zurückhaltung (kein Plural; Pl.: [Beschränkung] die Zurückhaltungen)"
"restraint [Zurückhaltung üben--to exercise restraint, to show restraint; Zurückhaltung {f} bei (den) Lohnforderungen--wage restraint [pol.; jobs; econ.]] [z.B. 'Nach anfänglicher Zurückhaltung hat auch Bundeskanzlerin Angela Merkel erkannt, dass die Flüchtlingskrise eine noch größere Herausforderung ist als die Euro-Rettung. Die Kanzlerin will das Problem nun schnell angehen. Doch Europa ist gespalten, innenpolitisch gibt es nicht viel zu gewinnen. Bei ihrem Auftritt vor der Hauptstadtpresse am Montag in Berlin wird Merkel viele Fragen zur Flüchtlingspolitik beantworten müssen.']","der Beamte/ein Beamter (Pl.: die Beamten)"
"official [jobs; admin.] [hochrangige Beamte--high-level officials [admin.]]; officer [police] [law; admin.] [der festnehmende Beamte--the arresting officer] [z.B. 'Unbürokratisch haben Beamte der Bundespolizei einer verzweifelten jungen Braut in Nürnberg Hindernisse zum Ehestart beiseite geräumt. Die Beamten ließen am Sonntagabend kurzerhand ein Bahnhofs-Schließfach öffnen, in dem die 21-Jährige wichtige Papiere für die Trauung mit ihrem Liebsten deponiert hatte. Den Schlüssel dazu hatte sie ebenso verloren wie den Schlüssel ihres Fahrradschlosses.']","der Ruhestand (Pl.: die Ruhestände)	"
"retirement [after working life] [Lehrer {m} im Ruhestand--retired teacher; in den Ruhestand treten--to go into retirement; sich dem Ruhestand nähern--to approach retirement; bei Eintritt in den Ruhestand--upon retirement]","der Vorruhestand (Pl.: [selten] die Vorruhestände)"
"early retirement [in den Vorruhestand treten--to go into early retirement]","der Abschied (Pl.: die Abschiede)	"
"farewell [Abschied nehmen--to say farewell]; discharge [mil.] [seinen Abschied nehmen--to apply for a discharge [mil.]; seinen Abschied erhalten or bekommen--to be discharged]","die Feier (Pl.: die Feiern)	"
"celebration [Feier des Weihnachtsfestes--celebration of Christmas]; party [eine Feier veranstalten--to throw a party]","der Ausstand (Pl.: die Ausstände)	"
"strike [industrial action] [im Ausstand sein--to be on strike]; farewell party [Abschiedsfeier] [seinen Ausstand geben--to throw a leaving party]; recusal (отвод (судьи); дисквалификация)","der Abgang (Pl.: die Abgänge)	"
"departure [Abgang aus dem Erwerbsleben--departure from the labor force] [z.B. 'Laut Aussagen von Mitgliedern der militanten Gruppe hätte Hersi [person's name] die kriegerische Organisation schon lange verlassen, berichtet die Nachrichtenagentur Reuters. Warum er sich nun den Behörden stellte, sei noch nicht klar. Der Abgang Hersis ist ein herber Schlag für die Terrormiliz.']; aftertaste [oenol.]; death [Amtsspr.: Todesfall] [den Abgang machen--to kick the bucket (сыграть в ящик)]","die Minderheit (Pl.: die Minderheiten)	"
"minority [ethnische Minderheit--ethnic minority; religiöse Minderheit--religious minority [relig.; pol.]; Angehöriger {m} einer ethnischen Minderheit--member of an ethnic minority; in der Minderheit sein--to be in a / the minority]","die Anständigkeit (kein Plural [Haltung] / Pl.: [selten] die Anständigkeiten [Handlungen, Äußerungen])"
"honesty [decency]; decency [Sittsamkeit]","die Verantwortung (kein Plural)	"
"responsibility [Verantwortung übernehmen--accept responsibility; aus der Verantwortung flüchten--escape responsibility]","das Blutvergießen (kein Plural)	"
"bloodshed [Berichte über Blutvergießen waren fast zur Gewohnheit geworden--reports of bloodshed had become almost routine]","das Gebiet (Pl.: die Gebiete)	"
"area [dicht bebautes Gebiet--densely built-up area; von Rebellen kontrolliertes Gebiet--rebel-held area [pol.; mil.]]","der Boden (Pl.: die Böden)	"
"ground [Erde, Grundfläche] [an Boden gewinnen--gain ground (набирать силу)]; floor [Fußboden] [constr.] [den Boden mit Teppich belegen--carpet the floor]; soil [Erdreich, Terrain] [erschöpfter Boden--depleted soil [agr.]]","die Auslieferung (Pl.: die Auslieferungen)"
"extradition [pol.; law] [Auslieferung eigener Staatsangehöriger--extradition of own nationals [law]]; delivery [Auslieferung der Sendung--delivery of the shipment]","die Botschaft (Pl.: die Botschaften)	"
"message [eine Botschaft rüberbringen--get a message across]; embassy [pol.] [Deutsche Botschaft--German Embassy]","das Ersuchen (kein Plural)	"
"request [ein Ersuchen stellen--make a request]","die Vereinbarung (Pl.: die Vereinbarungen)"
"agreement [mündliche Vereinbarung--verbal agreement; schriftliche Vereinbarung--written agreement; zweiseitige Vereinbarung--bilateral agreement; nach Vereinbarung--according to the terms of the agreement; durch Vereinbarung--by agreement; eine Vereinbarung schließen--to conclude an agreement; eine Vereinbarung verletzen--to violate an agreement]","die Spannung (Pl.: die Spannungen)	"
"tension [Spannungen abbauen--to reduce tensions [auch fig.]; Zunahme {f} der ethnischen Spannungen--increase in ethnic tensions]","die Gefolgschaft (Pl.: die Gefolgschaften)"
"allegiance [jdm. Gefolgschaft leisten--to give sb. allegiance] (лояльность; преданность); followers [Anhängerschaft]","die Wurzel (Pl.: die Wurzeln)	"
"root [das Übel an der Wurzel packen--to tackle the root of the problem; (die) Wurzel aus 4 ist 2--the square root of 4 is 2; Geld ist die Wurzel allen Übels.--Money is the root of all evil. {proverb}]","die Wache (Pl.: die Wachen)	"
"guard [Wachposten] [Wache halten--to keep guard (стоять на посту); Wache des Präsidenten--Presidential Guard (гвардия президента); eine Wache aufstellen--to mount a guard (заступать в караул)]; police station [kurz für: Polizeiwache] [kommen Sie mal mit auf die Wache!--you'll have to accompany me to the (police) station, please!]","die Drohung (Pl.: die Drohungen)	"
"threat [mit einer Drohung Ernst machen--to carry out a threat; leere Drohung--empty threat; soll das eine Drohung sein?--is that a threat?]","der Gipfel (Pl.: die Gipfel)	"
"summit [also pol.] [den Gipfel erreichen--to reach the summit [climbing]; auf dem Gipfel--at the summit [pol.]] [z.B. 'Der Gipfel findet am 11. und 12. November auf Malta statt.']; top [er hat den Gipfel seiner beruflichen Laufbahn erklommen--he climbed to the top of his profession]","die Vermittlung (Pl.: die Vermittlungen)"
"mediation [Schlichtung, Vermitteln] [Angebot {n} der Vermittlung--offer of mediation]; conveying [opinion, idea]; placement [eines Arbeitssuchenden]","die Gelegenheit (Pl.: die Gelegenheiten)"
"opportunity [günstiger Umstand, Zeitpunkt] [außergewöhnliche Gelegenheit--extraordinary opportunity; perfekte Gelegenheit--perfect opportunity; bei erster Gelegenheit--at the earliest opportunity; die Gelegenheit ergreifen--embrace the opportunity; Gelegenheit zum Aufstieg--promotion opportunity]","die Nachbarschaft (Pl.: Pl.: die Nachbarschaften)"
"neighborhood [Gegend] [ruhige Nachbarschaft--quiet neighborhood; eine durch und durch bürgerliche Nachbarschaft--a solidly middle-class neighbourhood]","der Einfluss (Pl.: die Einflüsse)	"
"influence [on--auf] [Einfluss einbringen--to exert influence; an Einfluss gewinnen--to gain influence; unter (dem) Einfluss von Alkohol / Drogen stehen--to be under the influence of drink / drugs]]","die Sphäre (Pl.: die Sphären)	sphere [Bereich]"
"der Einmarsch (Pl.: die Einmärsche)	","invasion [mil.] [der Einmarsch der Deutschen in Polen--the German invasion of Poland [hist.]]"
"die Spaltung (Pl.: die Spaltungen)	","division [Aufspaltung in Fraktionen] [religiöse Spaltung--religious division [relig.]]"
"die Gewalt (Pl.: die Gewalten)	","violence [Gewalttätigkeit] [Gewalt mit Gegengewalt beantworten--to counter violence with violence; Aufruf zur Gewalt--instigation of violence]; force [Zwang; Heftigkeit, Wucht] [nackte Gewalt--brute force; mit Gewalt--by force; Gewalt anwenden--to use force; die Gewalt der Explosion/des Sturmes--the force of the explosion/storm]; control [power] [in der Gewalt haben--to keep under control; aufgrund (von) höherer Gewalt--due to circumstances beyond our control]"
"die Lust (Pl.: die Lüste)	","pleasure [Vergnügen, Freude] [vor Lust aufschreien--to scream with pleasure; Stöhnen {n} der Lust--moans of pleasure]; passion; desire [auf--for] [sinnliche Lüste--sexual desires; weltliche Lüste--weltliche Lüste; Lust haben--to feel desire; seine Lust auf etw (A) befriedigen/zügeln--to satisfy/curb one's desire for sth/to do sth]"
"die Umkehr (kein Plural)	change [Änderung]","die Bedrohung (Pl.: die Bedrohungen)	"
"threat [nukleare Bedrohung--nuclear threat; eine Bedrohung darstellen--to constitute a threat; in ständiger Bedrohung leben--to live under a constant threat]","der Verlust (Pl.: die Verluste)	"
"loss [Verlust der Beschäftigung--loss of employment; Verlust des Ansehens--loss of image; beträchtlicher Verlust--substantial loss; Verlust erleiden--to suffer a loss; einen Verlust ausgleichen--to recoup a loss]; damage","die Richtung (Pl.: die Richtungen)	"
"direction [course, route] [in Richtung--in the direction of; in umgekehrter Richtung--in the reverse direction; seine Richtung ändern--to change one's direction; Richtung der Wellenbewegung--direction of movement of the waves; eine neue Richtung einschlagen--to break out in a new direction]","das Geschehnis (Pl.: die Geschehnisse)	event; incident [Vorfall auch]"
"die Küste (Pl.: die Küsten)	","coast [geogr.] [an der Küste--on the coast; die zerklüftete Küste Schottlands--the jagged coastline or coast of Scotland; vor der Küste lagert Erdöl--there are deposits of oil lying off the coast]"
"die Gebärde (Pl.: die Gebärden)	","gesture [eine drohende/beschwichtigende Gebärde machen--to make a threatening/soothing or calming gesture]"
"das Fahrzeug (Pl.: die Fahrzeuge)	","vehicle [transp.] [beschädigtes Fahrzeug--damaged vehicle or car; Abladen {n} von einem Fahrzeug--unloading of cargo from a vehicle]"
"das Schiff (Pl.: die Schiffe)	","ship [naut.] [ein Schiff bauen--to build a ship; ein Schiff führen--to command a ship; das zerschellte Schiff--the wrecked ship; mit dem Schiff fahren--to travel by sea]"
"die Übung (Pl.: die Übungen)	","exercise [mil.; sports; educ.; Feueralarmübung] [gemeinsame Übung--joint exercise [mil.]; mannschaftsbildende Übung--team building exercise [sports]]"
"der Wortschatz (Pl.: die Wortschätze)	","vocabulary [ling.] [aktiver Wortschatz--active vocabulary [ling.]; außergewöhnlich großer Wortschatz--exceptionally large vocabulary]"
"die Fremdsprache (Pl.: die Fremdsprachen)","foreign language [Fremdsprachen studieren/unterrichten--to study/teach languages]"
"der Satz (Pl.: die Sätze)	","sentence [ling.] [zusammengesetzter Satz--complex sentence; etw in einem Satz zusammenfassen--to sum sth up in one sentence; er hielt im Satz inne--he paused in mid-sentence]; rate [fin.; comm.] [Zinsen zum Satz von--interest at the rate of [fin.]; zu einem bestimmten Satz--at a fixed rate; zu einem höheren Satz verleihen--to lend money at a higher rate of interest]; set [of objects] [Satz Werkzeuge--set of tools or tool set [tech.]]"
"der Schnitt (Pl.: die Schnitte)	","average [Durchschnitt] [im Schnitt--on average {im Durchschnit}]; cut [Schnittwunde; Haarschnitt; Zuschnitt {Mode}] [der Schnitt sieht böse aus--that's a nasty-looking cut {haircut}]"
"der Speicher (Pl.: die Speicher)	","memory [comp.] [Speicher löschen--to clear memory; Flash-Speicher--flash memory [comp.]]; storage [Speicher hoher Kapazität--high-capacity storage [comp.]]; attic [Dachboden--чердак] [archi.] [auf dem Speicher--in the attic]; warehouse [Lager]"
"der Anfänger (Pl.: die Anfänger)	","beginner [das Wörterbuch ist für Anfänger bestimmt or konzipiert--the dictionary is designed for beginners; ein Anfänger sein--to be a beginner; Lehrgang {m} für Anfänger--beginners' course [educ.]]; freshman"
"das Bedürfnis (Pl.: die Bedürfnisse)	","need [ein Bedürfnis erfüllen--to fulfill a need; aus dem Bedürfnis heraus--out of a need; ein Bedürfnis verspüren, etw. zu tun--to feel a need to do sth.]"
"die Wendung (Pl.: die Wendungen)	","phrase [ling.]; change [katastrophale Wendung--catastrophic change; eine Wendung zum Besseren--a change for the better]"
"die Grundlage (Pl.: die Grundlagen)	","basis [wirtschaftliche Grundlage--economic basis [econ.]; auf wissenschaftlicher Grundlage--on a scientific basis; als Grundlage für etw dienen--to serve as a basis for sth]"
"die Grundlagen (Sg.: die Grundlage)	","fundamental principles [die Grundlagen einer Wissenschaft--the fundamental principles of a science] [z.B. 'Der Bund der Steuerzahler hat die Bundestagsabgeordneten aufgefordert, einem dritten Hilfspaket für Griechenland aus Mitteln des Euro-Rettungsfonds ESM ihre Zustimmung zu verweigern. „Die Abgeordneten müssen sicherstellen, dass die Grundlagen einer funktionierenden Währungsunion nicht abermals ad absurdum geführt werden“, begründete Verbandspräsident Reiner Holznagel seine Aufforderung in der Mittwochsausgabe des „Handelsblatts“.']"
"das Niveau (Pl.: die Niveaus)	","level [bestimmtes Niveau--certain level; auf höchstem Niveau--at the highest stage; Niveau für Anfänger--beginners' level; sich auf das Niveau von jdm. herablassen--to stoop to sb.'s level]"
"der Zweifel (Pl.: die Zweifel)	","doubt [an +Dat.--about] [außer Zweifel--beyond doubt; begründeter Zweifel--reasonable doubt; jds. Zweifel bestärken--to reinforce sb.'s doubts]; scruple [Zweifel hegen--to have scruples or to entertain doubt] (колебание; сомнение)"
"die Beziehung (Pl.: die Beziehungen)	","relationship [Verhältnis] [sexuelle Beziehung--sexual relationship; eine Beziehung beenden--to terminate a relationship]; respect [aspect] [in jeder Beziehung--in every respect]"
"der Draht (Pl.: die Drähte)	","wire [blanker Draht--bare wire (голый провод); ein kurzes Stück Draht--a short length of wire; Draht an einer Maschine befestigen--to connect wire to a machine]"
"der Verstoß (Pl.: die Verstöße)	","violation [Verstoß gegen das Gesetz--violation of the law]"
"das Völkerrecht (kein Plural)	","international law [law] [gegen das Völkerrecht verstoßen--to violate international law [pol.; law]]"
"das Lob (Pl.: [selten] die Lobe)	","praise [großes Lob--great praise; Lob ernten--to win praise]"
"der Übergang (Pl.: die Übergänge)	","transition [allmählicher Übergang--gradual transition; Übergang von etw. (D) zu etw. (D)--transition from sth. to sth.; Übergang zur Marktwirtschaft--transition to a market economy [econ.]; der nahtlose Übergang zur Demokratie--the seamless transition to democracy]; junction (соединение; точка пересечени)"
"die Einhaltung (Pl.: die Einhaltungen)	","observance [Einhaltung eines Vertrags--observance of a contract]"
"der Nachdruck [starke Betonung, Eindringlichkeit] (kein Plural)","emphasis [besonderen Nachdruck darauf legen, dass …--to put special emphasis on the fact that …]; force"
"der Nachdruck [Druckwesen] (kein Plural [das Nachdrucken] / Pl.: die Nachdrucke [Druckerzeugnisse])","reprint [print] [nachgedrucktes Werk] [Nachdruck im Taschenbuchformat--pocket reprint [publ.; libr.]; unerlaubter Nachdruck--unauthorized reprint] (новое издание; переиздание)"
"das Unrecht (Pl.: [selten (inoffiziell)] die Unrechte)","wrong [Unrecht haben--be in the wrong, be wrong; das Unrecht wiedergutmachen--to amend the wrong]"
"die Pflicht (Pl.: die Pflichten)	","duty [eine Pflicht erfüllen--to fulfill a duty; seine Pflicht vernachlässigen--to neglect one's duty; jdn. von einer Pflicht entbinden--to relieve sb. of a duty; England erwartet, dass jedermann seine Pflicht tut.--England expects that every man will do his duty. [Horatio Nelson]]"
"der Ausbruch (Pl.: die Ausbrüche)	","outbreak [Beginn] [Ausbruch von Gewalttätigkeiten--outbreak of violence; Ausbruch der Feindseligkeiten--outbreak of hostilities [mil.]]; outburst [Gefühlsausbruch, Zornausbruch] [Ausbruch {m} von Tränen--outburst of tears (поток слёз); (plötzlicher) Ausbruch {m} von Gelächter--sudden outburst of laughter] (всплеск эмоций)"
"das Schweigen (kein Plural)	","silence [betretenes Schweigen--awkward silence; völliges Schweigen--complete silence; das Schweigen brechen--to break the silence]"
"die Geschlossenheit (kein Plural)	","unity [gemeinsame Haltung] [Schalkes Stärke ist die mannschaftliche Geschlossenheit--Schalke's strength is that they play together as a team {Schalke is a German football team}] [z.B. 'Am Montagnachmittag telefonierte die Kanzlerin mit Tsipras - sie erwartet von ihm zum EU-Krisengipfel am Dienstag Vorschläge, wie es weitergehen soll. Am Abend wollte Merkel nach Paris fliegen, um sich mit Präsident François Hollande zu beraten. Es geht jetzt auch darum, Geschlossenheit gegenüber Athen zu demonstrieren.']"
"das Lager (Pl.: die Lager)	","camp [Camp] [gegnerisches Lager--enemy camp [pol.]; konservatives Lager--conservative camp [pol.]; das Lager aufschlagen--pitch camp (разбивать лагерь)]; warehouse [comm.; archi.] [automatisiertes Lager--automated warehouse]; bed [geol.; furn.] [Liegestatt, Lagerstätte] [die Krankheit fesselte ihn wochenlang ans Lager--the illness kept him in bed for weeks]"
"die Strafmaßnahme (Pl.: die Strafmaßnahmen)","sanction [punishment] [harte Strafmaßnahme--severe sanction]"
"der Bezug (Pl.: die Bezüge)	","reference [auf +Akk.--to] [auf etw. Bezug nehmen--to make reference to sth.; mit Bezug auf +Akk.--with reference to]"
"die Wahrnehmung (kein Plural [das Wahrnehmen] / Pl.: die Wahrnehmungen [Eindrücke])","perception [psych.] [mit den Sinnen] [visuelle Wahrnehmung--visual perception [biol.]; Wahrnehmung {f} des Kunden--customer perception [econ.] (понимание запросов клиента)]; fulfilling [Pflichten]"
"die Lesart (Pl.: die Lesarten)	","version [Variante; abweichende Darstellung]; interpretation [Deutung]"
"die Vernunft (kein Plural)	","reason [rationality, mental sanity] [gegen alle Vernunft--against all reason; Stimme {f} der Vernunft--voice of reason; sich der Vernunft beugen--to yield to reason (внять голосу разума)]"
"die Anzeige (Pl.: die Anzeigen)	","advertisement [Inserat, Reklame] [bebilderte Anzeige--pictorial advertisement; halbseitige Anzeige--half-page advertisement; eine Anzeige schalten--to run an advertisement]; display [visual display] [digitale Anzeige--digital display [tech.]; grafische Anzeige--graphic display; Anzeige, die angibt, dass ...--display indicating that ... [tech.]]; reading [Messwerte] [die Anzeige der Messwerte/Messinstrumente--the readings of the measured values/on the gauges]; complaint [law] [Anzeige erstatten bei jdm.--to make a complaint to sb.]"
"die Ratlosigkeit (kein Plural)	","helplessness [in meiner Ratlosigkeit …--not knowing what to do ... ; being at a loss …]"
"die Einigkeit (kein Plural)	","unity [zur Einigkeit aufrufen--to issue a call for unity; Einigkeit macht stark.--Unity is strength.]"
"die Sorge (Pl.: die Sorgen)	","concern [worry, apprehension] [erste Sorge--chief concern; die Sorge um die Zukunft--concern for or about the future; wir betrachten diese Entwicklung mit Sorge--we view this development with concern] [z.B. 'Die Sorge vor islamistischem Terrorismus ist nach den jüngsten Anschlägen in Paris, Istanbul und Jakarta größer denn je.']"
"das Unbehagen (Pl.: die Unbehagen)	","discontent [Unzufriedenheit] [an +Dat.--with]; discomfort [körperlich]"
"die Einsetzung (Pl.: die Einsetzungen)	","establishment [act of establishing, appointment]; appointment [in +Akk.--to] [Einsetzung eines Ausschusses--appointment of a committee; Einsetzung von Beratern--appointment of advisers]"
"der Streit (Pl.: [selten] die Streite)	","dispute [Auseinandersetzung] [Streit vermeiden--to avoid all dispute; Streit um den Zuständigkeitsbereich--demarcation dispute]; argument [Auseinandersetzung] [um, über +Akk.--about, over] [wegen einer Sache Streit bekommen--to get into an argument over sth; Streit anfangen--to start an argument]"
"der Vertreter (Pl.: die Vertreter)	","representative [bestellter Vertreter--appointed representative; bevollmächtigter Vertreter--authorized representative; einen Vertreter bestellen--to nominate a representative]"
"die Sperrung (Pl.: die Sperrungen)	","blocking [+von Konto] [Sperrung eines Kontos--blocking of an account]"
"die Abschaffung (Pl.: die Abschaffungen)","abolition [+von Gesetz, Regelung] [Abschaffung der Sklaverei--abolition of slavery; Abschaffung von Beschränkungen--abolition of restrictions; Abschaffung der Zollschranken--abolition of tariff walls; Abschaffung von beschränkenden Bestimmungen--deregulation]"
"die Beschränkung (Pl.: die Beschränkungen)","restriction [eine Beschränkung auferlegen--to impose a restriction]; restraint [Maßnahme] [Beschränkung der Freiheit--restraint of freedom; Beschränkung {f} des freien Handels--restraint of free trade]"
"der Geschäftsführer (Pl.: die Geschäftsführer)","managing director [comm.] [+von Unternehmen] [die Firma trennte sich von ihrem Geschäftsführer--the firm parted company with its managing director]"
"das Erzeugnis (Pl.: die Erzeugnisse)	","product [gewerbliches Erzeugnis--manufactured product; landwirtschaftliches Erzeugnis--agricultural product; deutsches Erzeugnis--made in Germany]"
"das Wohl (kein Plural)	","welfare [soziales Wohl--social welfare (социальная защита)]; well-being [sein eigenes Wohl über etw. stellen--to put one's well-being before sth.]; good [Wohl der Allgemeinheit--public good (общественные интересы]; übergeordnetes Wohl--greater good (высшее благо)]"
"der Korb (Pl.: die Körbe)	","basket [Korb mit Blumen--basket of flowers; Korb voll Äpfel--basket full of apples; Dein Korb ist leer.--Your basket is empty. [Internet; comm.]]"
"die Ausfuhr (Pl.: die Ausfuhren)	","export [comm.] [Ausfuhr von Waren und Dienstleistungen--export of goods and services; Ausfuhr in Nichtmitgliedstaaten der EU--export to non-EU countries [econ.]] [z.B. 'Erneuter Rückschlag für die chinesische Wirtschaft: Die Exporte sind im Juli vor allem wegen einer schwachen Nachfrage aus Europa und der starken heimischen Währung Yuan deutlich gefallen. Die Ausfuhren seien um 8,3 Prozent auf 195,10 Milliarden Dollar gesunken, teilte die Zollverwaltung am Samstag mit.']"
