"#","German","English"
"1	"," der Gebrauch"," use"
"101	"," das Jahr"," year"
"102	"," das Joch"," yoke"
"103	"," das Kalb"," calf"
"104	"," das Kalbsflesich"," calf meat"
"105	"," das Kaninchen"," rabbit, small domesticated"
"106	"," das Kapitel"," chapter"
"107	"," das Kaufhaus"," department store"
"108	"," das Kilo"," kilo"
"109	"," das Kinn"," chin"
"110	"," das Kissen"," cushion, pillow"
"111	"," das Klavier"," piano"
"112	"," das Kleingeld"," small change"
"113	"," das Knie"," knee"
"114	"," das Koffein"," caffeine"
"115	"," das Konzert"," concert"
"116	"," das Kotelett"," cutlet"
"117	"," das Kraut"," plant"
"118	"," das Kugelstoßen"," shot put (sport)"
"119	"," das Känguru"," kangaroo"
"120	"," das Kännchen"," pot, kettle"
"121	"," das Lammfleisch"," lamb meat"
"122	"," das Land"," land, country, nation"
"123	"," das Leben"," life"
"124	"," das Lied"," song"
"125	"," das Lied"," song, songs"
"126	"," das Lob"," praise"
"127	"," das Maul"," mouth, jaws (for animal)"
"128	"," das Medikament"," medication"
"129	"," das Meer"," sea"
"130	"," das Messer"," knife"
"131	"," das Metermaß"," ruler, measuring tape"
"132	"," das Mikrofon"," microphone"
"133	"," das Missverständnis"," misunderstanding"
"134	"," das Mitleid"," compassion"
"135	"," das Mäppchen"," small pencil case"
"136	"," das Möbelhaus"," furniture store"
"137	"," das Nasenloch"," nostrils"
"138	"," das Nest"," nest"
"139	"," das Netz"," net, the internet"
"140	"," das Obst"," fruit"
"141	"," das Ohr"," ear"
"142	"," das Paar"," a pair of something"
"143	"," das Paket"," parcel (in the mail)"
"144	"," das Paradie s"," paradise"
"145	"," das Pech"," pitch"
"146	"," das Pflaster"," plaster, poultice"
"147	"," das Pfund"," 500 grams, .5 Kilo"
"148	"," das Picknick"," picnic"
"149	"," das Plätzchen"," biscuit"
"150	"," das Polen"," poland"
"151	"," das Püree"," puree, i.e. Kartoffelpüree - mashed potatoes"
"152	"," das Quadrat"," square"
"153	"," das Rankengewächs"," creeping plant"
"154	"," das Rechteck"," rectangle"
"155	"," das Regal"," bookshelves"
"156	"," das Reihenhaus"," terraced house, row house"
"157	"," das Reisebüro"," travel agent"
"158	"," das Restaurant"," restaurant"
"159	"," das Rezept"," prescription"
"160	"," das Rhabarber"," rhubarb"
"161	"," das Rindfleisch"," beef"
"162	"," das Rohr"," pipe - water pipe, etc."
"163	"," das Rätsel"," riddle, puzzle"
"164	"," das Salz"," salt"
"165	"," das Scheitern"," collapse"
"166	"," das Schifferklavier"," accordion"
"167	"," das Schloss"," lock, castle"
"168	"," das Schmuckgeschäft"," jewelry store"
"169	"," das Schnitzel"," pork cutlett"
"170	"," das Schreibwarengeschäft"," stationery store"
"171	"," das Schwein"," pig, hog"
"172	"," das Schweinefleisch"," pork meat"
"173	"," das Schwimmbad"," swimming pool"
"174	"," das Seil"," rope, line, climbing line"
"175	"," das Sekretariat"," office"
"176	"," das Shampoo"," shampoo"
"177	"," das Silber"," silver"
"178	"," das Sofa"," sofa, couch"
"179	"," das Sonderangebot"," special offer"
"180	"," das Speerwerfen"," spear throwing"
"181	"," das Spiegelei"," fried egg"
"182	"," das Spielzeug"," playtoy"
"183	"," das Ständchen"," seranade"
"184	"," das Stück"," piece"
"185	"," das Talent"," talent, capacity, bib. - measure of weight"
"186	"," das Telefon"," telephone"
"187	"," das Teppichgeschäft"," carpet store"
"188	"," das Thema"," theme, topic"
"189	"," das Thermometer"," thermometer"
"190	"," das Ticket"," ticket"
"191	"," das Tor"," door, sport - goal"
"192	"," das Treffe"," meeting"
"193	"," das Triebwerk"," engine, power plant"
"194	"," das Trinkgeld"," a tip"
"195	"," das Tuch"," cloth, kerchief"
"196	"," das Turnen"," gymnastics"
"197	"," das Turnier"," tournament, show"
"198	"," das Ufer"," bank of river, shoreline"
"199	"," das Unkraut"," weed"
"200	"," das Unrecht"," injustice"
"201	"," das Verbrechen"," crime"
"202	"," das Vergehen"," offense"
"203	"," das Verhältnis"," relationship, affair"
"204	"," das Verkehrsmittel"," transportation"
"205	"," das Verschwinden"," disappearance"
"206	"," das Vertrauen"," trust"
"207	"," das Video"," video"
"208	"," das Vieh"," cattle"
"209	"," das Viertel"," quarter"
"210	"," das Volk"," people, nation"
"211	"," das Vortschritt"," progress"
"212	"," das Wachstum"," growth"
"213	"," das Wasser"," water"
"214	"," das Wechselgeld"," change"
"215	"," das Werkzeug"," work tools"
"216	"," das Wesen"," being, nature"
"217	"," das Wissen"," knowledge"
"218	"," das Wunder "," wonder , marvel"
"219	"," das Wurzelverzeichnis"," root directory"
"220	"," das Zentrum"," center"
"221	"," das Zimmer"," room"
"222	"," das Zollkontrolle"," customs in airport"
"223	"," das Öl"," oil"
"224	"," der ABA"," answering machine"
"225	"," der Abflug"," departure"
"226	"," der Abriss"," demolition"
"227	"," der Abschied"," goodbye, farewell"
"228	"," der Abstand"," distance"
"229	"," der Acker"," field"
"230	"," der Affe"," monkey"
"231	"," der Aktenkoffer"," attache case"
"232	"," der Aktenordner"," file, file cabinet, etc."
"233	"," der Allgemeinarzt"," general practice doctor"
"234	"," der Anblick"," sight, a look"
"235	"," der Anfang"," the beginning"
"236	"," der Angriff"," attack, raid"
"237	"," der Anlass"," motive, cause"
"238	"," der Anruf"," phone call"
"239	"," der Anschluss"," connection, (water) supply"
"240	"," der Anspruch"," claim (ins.)"
"241	"," der Anwohner"," resident"
"242	"," der Anästhesist"," anathesiologist"
"243	"," der Apfel"," apple"
"244	"," der Apparat"," apparatus, Gadget, Machine"
"245	"," der Arm"," arm"
"246	"," der Ast"," branch of a tree"
"247	"," der Asylant"," asylum seeker"
"248	"," der Ausflug"," outing, field trip"
"249	"," der Auswander er"," emigrant"
"250	"," der Ausweis"," ID"
"251	"," der Badeanzug"," bathing suit"
"252	"," der Bahnhof"," train station"
"253	"," der Balkon"," balcony"
"254	"," der Ball"," ball"
"255	"," der Barren"," the parallel bars"
"256	"," der Bart"," beard"
"257	"," der Bastler"," craftsman, do it yourselfer"
"258	"," der Bauch"," stomach"
"259	"," der Baum"," tree"
"260	"," der Becher"," beaker, plastic cup"
"261	"," der Beginn"," beginning, start"
"262	"," der Beruf"," occupation, career"
"263	"," der Besitz"," resources, assets"
"264	"," der Beweis"," proof"
"265	"," der Bezwinger"," conqueror"
"266	"," der Blitz"," lightning, flash"
"267	"," der Blumenkohl"," cauliflower"
"268	"," der Blumenladen"," flower shop"
"269	"," der Blumenstrauß"," bunch of flowers"
"270	"," der Boden"," ground, dirt"
"271	"," der Brei"," mash, puree"
"272	"," der Briefkasten"," mailbox"
"273	"," der Bruder "," brother"
"274	"," der Buckel"," hunchback"
"275	"," der Buddhismus"," buddhism"
"276	"," der Bush"," bush (strauch)"
"277	"," der Chef"," boss"
"278	"," der Chinese"," chinese (people)"
"279	"," der Chirurg"," surgeon"
"280	"," der Christ"," Christian"
"281	"," der Computer"," computer"
"282	"," der Dachboden"," attic"
"283	"," der Dampf"," steam, vapor"
"284	"," der Detektiv"," detective"
"285	"," der Dieb"," thief"
"286	"," der Dirigent"," conductor"
"287	"," der Dirigentenstab"," conductors baton"
"288	"," der Dom"," cathedral"
"289	"," der Dorn"," thorn"
"290	"," der Drache"," dragon"
"291	"," der Drachen"," a kite, a glider"
"292	"," der Dualismus"," dualism"
"293	"," der Dung"," dung, manure"
"294	"," der Dünger"," fertilizer"
"295	"," der Düsenantrieb"," jet propulsion"
"296	"," der Düsenjäger"," fighter jet"
"297	"," der Edelstein"," precious stone"
"298	"," der Einkaufszettel"," shopping list"
"299	"," der Einwander er"," immigrant"
"300	"," der Eiskunstlauf"," figure skating"
"301	"," der Ellbogen"," elbow"
"302	"," der Eltern (pl)"," parents"
"303	"," der Esel"," donkey"
"304	"," der Faden"," thread"
"305	"," der Fahrradabstellplatz"," bicycle parking place"
"306	"," der Fallschirm"," parachute"
"307	"," der Familienstand"," family status"
"308	"," der Fehler"," mistake"
"309	"," der Feind"," enemy"
"310	"," der Feldrand"," edge of a field"
"311	"," der Finger"," finger"
"312	"," der Fingerabdruck"," fingerprint"
"313	"," der Fingerhut"," thimble"
"314	"," der Fingernagel"," fingernail"
"315	"," der Fisch"," fish"
"316	"," der Flaschenöffner"," bottle opener"
"317	"," der Fleck"," spot"
"318	"," der Flug"," flight"
"319	"," der Flugbegleiter"," airline stewardess"
"320	"," der Flughafen"," airport"
"321	"," der Flur"," hallway in a house"
"322	"," der Fluss"," river"
"323	"," der Freimut"," frankness"
"324	"," der Frevel"," iniquity, outrage"
"325	"," der Frühaufsteher"," early riser, hard working person"
"326	"," der Fuchs"," fox"
"327	"," der Fuß"," foot"
"328	"," der Fußgänger"," pedestrian"
"329	"," der Fön"," hairdryer"
"330	"," der Führerschein"," driver´s license"
"331	"," der Fürst"," prince, princess"
"332	"," der Gammel"," rubbish"
"333	"," der Gang"," walkway, corridor"
"334	"," der Garten"," garden"
"335	"," der Gast"," guest"
"336	"," der Geburtstag"," birthday"
"337	"," der Gehsteig"," sidewalk"
"338	"," der Geruch"," smell, odor"
"339	"," der Geschäftsführer"," store manager"
"340	"," der Gestank"," stench"
"341	"," der Getränkemarkt"," party store, beer - wine store"
"342	"," der Gott"," God, gods"
"343	"," der Grund"," the reason, the matter"
"344	"," der Grundsatz"," principle"
"345	"," der Gürtel"," belt"
"346	"," der Haarschnitt"," haircut"
"347	"," der Hacken"," hooks"
"348	"," der Hafen"," harbor"
"349	"," der Hafer"," oat"
"350	"," der Hals"," neck"
"351	"," der Halz"," ear, nose and throat doctor"
"352	"," der Hammer"," hammer"
"353	"," der Hase"," hare, undomesticated rabbit"
"354	"," der Hass"," hate, hatred"
"355	"," der Haushalt"," household"
"356	"," der Heilend"," savior"
"357	"," der Heilige"," saint"
"358	"," der Held"," hero, heroin"
"359	"," der Herd"," whole stove, oven and top"
"360	"," der Himmel"," heaven"
"361	"," der Hinduismus"," hinduism"
"362	"," der Hochzeitstage"," wedding day"
"363	"," der Hof"," yard, courtyard"
"364	"," der Honig"," honey"
"365	"," der Horizont"," horizon"
"366	"," der Huf"," hoof"
"367	"," der Husten"," cough"
"368	"," der Hustensaft"," cough syrup"
"369	"," der Hüter"," custodian"
"370	"," der Internist"," internalist"
"371	"," der Internspeicher"," computer memory"
"372	"," der Kachelboden"," tile floor"
"373	"," der Kalender "," calender"
"374	"," der Kamm"," comb"
"375	"," der Kasperl"," puppet"
"376	"," der Kassenzettel"," receipt"
"377	"," der Kater"," tomcat"
"378	"," der Keks"," cookies"
"379	"," der Kellner"," waiter, waitress"
"380	"," der Klee"," clover"
"381	"," der Kleiderbügel"," coat hanger"
"382	"," der Klub"," club, civic group"
"383	"," der Knoblauch"," garlic"
"384	"," der Knöchel"," ankle"
"385	"," der Koffer"," suitcase"
"386	"," der Kohl"," cabbage"
"387	"," der Kontrast"," contrast"
"388	"," der Kontrolleur"," inspector"
"389	"," der Kopf"," head"
"390	"," der Kopfsalat"," head lettuce"
"391	"," der Korb"," basket"
"392	"," der Korken"," cork"
"393	"," der Korkenzieher"," corkscrew"
"394	"," der Krankenpfleger"," nurse, male or female"
"395	"," der Kratzer"," scratch"
"396	"," der Kreis"," circle"
"397	"," der Kuchen"," cake"
"398	"," der Kugelschreiber"," ink pen"
"399	"," der Kunde"," customer"
"400	"," der Kundenservice"," customer service department"
"401	"," der Kuss"," kiss"
"402	"," der Käfig"," birdcage"
"403	"," der Käse"," cheese"
"404	"," der Körper"," body"
"405	"," der Kühlschrank"," refrigerator"
"406	"," der Kürbis"," pumpkins"
"407	"," der Laden"," shop"
"408	"," der Langschläfer"," late sleeper, lazy person"
"409	"," der Laptop"," laptop computer"
"410	"," der Lauch"," leek"
"411	"," der Leerlauf"," idle"
"412	"," der Legastheniker"," dyslexic"
"413	"," der Leiter"," leader"
"414	"," der Liebling"," loved one"
"415	"," der Lockenwickler"," hair curlers"
"416	"," der Lärm"," noise"
"417	"," der Löffel"," spoon"
"418	"," der Löwe"," lion"
"419	"," der Mais"," corn"
"420	"," der Maiskolben"," corncob"
"421	"," der Maurer"," bricklayer"
"422	"," der Mediabericht"," media report"
"423	"," der Meeresblick"," seaside view"
"424	"," der Mensch"," humans"
"425	"," der Mond"," the moon"
"426	"," der Mord"," murder"
"427	"," der Morgenmantel"," housecoat"
"428	"," der Mulleimer"," trash bin"
"429	"," der Mund"," mouth"
"430	"," der Musiker"," musician"
"431	"," der Muskel"," muscle"
"432	"," der Mut"," courage, pluck"
"433	"," der Nabel"," navel"
"434	"," der Nachbar"," neighbor"
"435	"," der Nachteil"," disadvantage"
"436	"," der Name"," name"
"437	"," der Nebel"," fog, mist"
"438	"," der Nord"," North, South, East and West"
"439	"," der Notausgang"," emergency exit"
"440	"," der Nu"," no time"
"441	"," der Nudelsalat"," pasta salad"
"442	"," der Oberkörper"," upper body"
"443	"," der Oberschenkel"," thigh"
"444	"," der Ochse"," ox"
"445	"," der Ofen"," oven"
"446	"," der Ort"," place"
"447	"," der Orthopäde"," orthopedist"
"448	"," der Pantoffelheld"," hen pecked husband, i.e. Slipper bound"
"449	"," der Papagei"," parrot"
"450	"," der Paprika"," bell peppers"
"451	"," der Park"," park"
"452	"," der Partner"," partner"
"453	"," der Pass"," passport"
"454	"," der Pfeffer"," pepper"
"455	"," der Pfirsich"," peach"
"456	"," der Pilz"," mushroom"
"457	"," der Pinsel"," brush"
"458	"," der Plünderer"," raider, plunderer"
"459	"," der Psychiater"," psychiatrist"
"460	"," der Pullover"," a sweater"
"461	"," der Quark"," sour cream"
"462	"," der Rabe"," raven"
"463	"," der Rahmen"," frame"
"464	"," der Rand"," edge"
"465	"," der Rat"," advice"
"466	"," der Raum"," space, room"
"467	"," der Rechtsstreit"," legal dispute"
"468	"," der Regenschirm"," umbrella"
"469	"," der Respekt"," respect"
"470	"," der Rest"," the rest"
"471	"," der Retter"," rescuer, savior"
"472	"," der Rettich"," radish"
"473	"," der Rhythmus"," rhythm"
"474	"," der Riese"," giant"
"475	"," der Ring"," ring"
"476	"," der Ritter"," knight"
"477	"," der Rock"," skirt"
"478	"," der Roller"," scooter"
"479	"," der Ruhm"," glory"
"480	"," der Rumpf"," body core, trunk"
"481	"," der Rücken"," the back, spine"
"482	"," der Sack"," sack"
"483	"," der Saft"," juice"
"484	"," der Salat"," lettuce"
"485	"," der Sand"," sand"
"486	"," der Sandstrand"," sandy beach"
"487	"," der Schal"," scarf, shawl"
"488	"," der Schalter"," counter, switch"
"489	"," der Schatz"," treasure, sweetheart"
"490	"," der Schein"," paper money, bill"
"491	"," der Schimpf"," insult, affront"
"492	"," der Schinken"," ham"
"493	"," der Schirm"," shield, screen"
"494	"," der Schlitten"," sled, sledge"
"495	"," der Schlitz"," slot, slit"
"496	"," der Schluck"," of liquid, a drink, a swallow, a drop"
"497	"," der Schlüssel"," key"
"498	"," der Schmeichler"," flatterer"
"499	"," der Schmerz"," pain"
"500	"," der Schmetterling"," butterfly"
"501	"," der Schmuck"," jewelry"
"502	"," der Schnabel"," beak"
"503	"," der Schnupften"," a cold"
"504	"," der Schrank"," cupboard, wardrobe"
"505	"," der Schrei"," scream"
"506	"," der Schwager"," brother in law, sister in law"
"507	"," der Schwan"," swan"
"508	"," der Schwerpunkt"," center of gravity"
"509	"," der Schäferhund"," german shepherd"
"510	"," der Schönheitschirurg"," plastic surgeon"
"511	"," der Seite"," side, page"
"512	"," der Senf"," mustard"
"513	"," der Sessel"," armchair"
"514	"," der Seufzer"," sigh"
"515	"," der Sklave"," slave"
"516	"," der Sohn"," son, sons"
"517	"," der Spinat"," spinach"
"518	"," der Spitzer"," pencil sharpener"
"519	"," der Sprecher"," speaker"
"520	"," der Staat"," state, country"
"521	"," der Stab"," stick, pole"
"522	"," der Stabhochsprung"," pole vaulting"
"523	"," der Stadtplan"," city plan, map"
"524	"," der Stadtteil"," city district"
"525	"," der Stamm"," tree trunk, tribe, clan"
"526	"," der Stand"," stand, counter"
"527	"," der Stapel"," pile, stack"
"528	"," der Stau"," traffic jam"
"529	"," der Stern"," stars"
"530	"," der Steward"," airline stewardess"
"531	"," der Stich"," stitch"
"532	"," der Stiefel"," boot"
"533	"," der Stier"," A steer, a bull"
"534	"," der Stift"," pen, pin, peg"
"535	"," der Stock"," cane"
"536	"," der Stoff"," fabric, material"
"537	"," der Stolz"," pride"
"538	"," der Stoß"," push, shove, punch"
"539	"," der Strafzettel"," parking ticket, etc."
"540	"," der Strand"," beach"
"541	"," der Strauch"," shrubbery"
"542	"," der Strauss"," ostrich"
"543	"," der Straßenrand"," roadside"
"544	"," der Streifschar"," raiding party"
"545	"," der Streit"," argument, quarrel, dispute"
"546	"," der Strom"," river"
"547	"," der Supermarkt"," supermarket"
"548	"," der Suppenteller"," soup bowl"
"549	"," der Synthesizer"," synthesizer"
"550	"," der Sünder "," sinner"
"551	"," der Tagtraum"," daydream"
"552	"," der Takt"," (music) - bar, time"
"553	"," der Taschenrechner"," calculator"
"554	"," der Teddybär"," teddy bear"
"555	"," der Tee"," tea"
"556	"," der Teich"," pond"
"557	"," der Teller"," plate"
"558	"," der Teppich"," carpeting, flooring"
"559	"," der Termin"," official appointment"
"560	"," der Tintenfisch"," inkfish - i.e. Squid, octopus, etc."
"561	"," der Tisch"," table"
"562	"," der Tod"," death"
"563	"," der Topf"," pot"
"564	"," der Torhüter"," goalie"
"565	"," der Trainer"," trainer"
"566	"," der Traumurlaub"," dream vacation"
"567	"," der Trauzeuge"," witness at a marriage ceremony"
"568	"," der Tresor"," a safe, lockbox, etc."
"569	"," der Tropfen"," drops"
"570	"," der Trubel"," turbulence"
"571	"," der Tumor"," tumor, growth"
"572	"," der Turm"," tower"
"573	"," der Umzug"," parade, relocation, move"
"574	"," der Unfall"," accident, wreck"
"575	"," der Unterkörper"," lower body"
"576	"," der Unterricht"," class, lesson, instructions"
"577	"," der Unterschied"," difference, variation"
"578	"," der Verein"," official club, organization"
"579	"," der Verkäufer"," shopkeeper"
"580	"," der Verlust"," loss"
"581	"," der Verräter"," traitor"
"582	"," der Vers"," verse"
"583	"," der Verstärker"," amplifier"
"584	"," der Vertrieb"," sales"
"585	"," der Videorekorder "," videorecorder"
"586	"," der Vorhang"," curtains"
"587	"," der Vormittag"," the morning"
"588	"," der Vorschlag"," proposal, suggestion"
"589	"," der Vorstand"," the board (of directors)"
"590	"," der Vorstandsvorsitzende"," corporate president, head of the board"
"591	"," der Vorteil"," advantage"
"592	"," der Wagen"," car, truck, etc."
"593	"," der Wald"," forest"
"594	"," der Wart"," attendant"
"595	"," der Wasserhahn"," faucet"
"596	"," der Wecker"," alarm clock"
"597	"," der Weg"," path"
"598	"," der Wein"," wine"
"599	"," der Weinkeller"," wine cellar"
"600	"," der Weizen"," wheat"
"601	"," der Weltraum"," the universe"
"602	"," der Wert"," worth, value"
"603	"," der Wettbewerb"," competition"
"604	"," der Wetter"," better"
"605	"," der Wettlauf"," race"
"606	"," der Whirlpool"," whirlpool, jacuzzi"
"607	"," der Winkel"," angle"
"608	"," der Wirbel"," whirl, whirlpool (im Fluß etc.)"
"609	"," der Witz"," joke, wit."
"610	"," der Wunsch"," wish"
"611	"," der Wäscheständer "," clothes drying rack"
"612	"," der Zahn"," tooth, teeth"
"613	"," der Zahnstocher"," toothpick"
"614	"," der Zauber"," magic"
"615	"," der Zaun"," fence"
"616	"," der Zeigefinger"," pointing finger, index finger"
"617	"," der Zerstörer"," the destroyer"
"618	"," der Zipfel"," corner, point"
"619	"," der Zoll"," tax, fee, toll, customs duty"
"620	"," der Zoo"," zoo"
"621	"," der Zucker"," sugar"
"622	"," der Zweig"," twig"
"623	"," der Übersetzer"," translator"
"624	"," die Abhängigkeit"," addiction, dependence"
"625	"," die Abteilung"," department"
"626	"," die Abwicklung"," liquidation, phaseout"
"627	"," die Ader "," artery"
"628	"," die Ahnung"," suspicion, hunch"
"629	"," die Alge"," algae"
"630	"," die Ampel"," stop light"
"631	"," die Anbetung"," worship, adoration"
"632	"," die Anfangsgründe"," elements (wie in chemie)"
"633	"," die Angst"," axiety"
"634	"," die Anhöhe"," bank, hill"
"635	"," die Anklage"," charge, - legal"
"636	"," die Ankunft"," arrival"
"637	"," die Apfelsine"," orange, orange tree"
"638	"," die Apotheke"," chemist, drug store"
"639	"," die Aprikose"," apricot"
"640	"," die Armlehne"," armrest"
"641	"," die Art"," kind, sort, type"
"642	"," die Atmung"," respiration, breathing"
"643	"," die Auflage"," edition, imprint"
"644	"," die Augenbraue"," eyebrows"
"645	"," die Ausnahme"," exception"
"646	"," die Autobahn"," autobahn, freeway"
"647	"," die Backspacetaste"," backspace key"
"648	"," die Backware"," baked goods"
"649	"," die Badesachen"," bathing things"
"650	"," die Badewanne"," bathtub"
"651	"," die Banane"," banana"
"652	"," die Bank"," bank"
"653	"," die Bank"," bench"
"654	"," die Barmherzigkeit"," mercy"
"655	"," die Beere"," berry"
"656	"," die Begeisterung"," enthusiasm"
"657	"," die Bekannte"," acquaintance"
"658	"," die Besatzung"," crew (ins Gesamt)"
"659	"," die Besichtigung"," sight seeing tour"
"660	"," die Besprechung"," discussion"
"661	"," die Bezirksstadt"," district capital"
"662	"," die Birne"," pear"
"663	"," die Bohne"," beans"
"664	"," die Bohrmaschine"," drill"
"665	"," die Bordkarte"," bording card"
"666	"," die Boutique"," boutique"
"667	"," die Bremse"," brake"
"668	"," die Brezel"," pretzel"
"669	"," die Brust"," chest, breasts (pl)"
"670	"," die Brücke"," bridge"
"671	"," die Buchhaltung"," finance office"
"672	"," die Buchhandlung"," bookstore"
"673	"," die Bushaltestelle"," bus stop"
"674	"," die Butter"," butter"
"675	"," die Decke"," ceiling, bed cover"
"676	"," die Digitalkamera"," digital camera"
"677	"," die Ding"," thing"
"678	"," die Disko(thek)"," dance club"
"679	"," die Dose"," tin of something"
"680	"," die Dreiheit"," trinity"
"681	"," die Droge"," drugs"
"682	"," die Drogerie"," chemist, apotheke, drugstore"
"683	"," die Dunkelheit"," darkness"
"684	"," die Durchwahl"," telephone extension"
"685	"," die Ecke"," corner"
"686	"," die Ehre"," honor"
"687	"," die Eifersucht"," jealousy"
"688	"," die Einkünfte (pl)"," earnings"
"689	"," die Einsamkeit"," loneliness"
"690	"," die Empfindlichkeit"," sensitivity"
"691	"," die Erbse"," pea"
"692	"," die Erde"," earth"
"693	"," die Erhebung"," rise, ascension to power"
"694	"," die Erkältung"," cold, cough"
"695	"," die Ermutigung"," encouragement"
"696	"," die Ernährung"," nutrition"
"697	"," die Errettung"," salvation"
"698	"," die Erschöpfung"," exhaustion, fatigue"
"699	"," die Erwachsene"," adult, grown up"
"700	"," die Fachkraft"," skilled workers, professional workers"
"701	"," die Fahrkarte"," train ticket, bus ticket, etc."
"702	"," die Farbenpalette"," painters palette"
"703	"," die Feile"," file"
"704	"," die Fensterbank"," window sill"
"705	"," die Ferien"," holidays"
"706	"," die Fernbedienung"," TV remote"
"707	"," die Ferse"," heel"
"708	"," die Festplatte"," computer hard drive"
"709	"," die Fischsemmel"," fish bread, fish sandwich"
"710	"," die Flotte"," fleet, armada"
"711	"," die Flucht"," escape, getaway"
"712	"," die Fluggesellschaft"," airline"
"713	"," die Flut"," flood"
"714	"," die Form"," form"
"715	"," die Fotokopie"," photocopy"
"716	"," die Frage"," question"
"717	"," die Freizügigkeit"," liberality, permissiveness"
"718	"," die Freude"," joy"
"719	"," die Frucht"," fruit"
"720	"," die Frucht"," fruit"
"721	"," die Fußgängerzone"," pedestrianized zone"
"722	"," die Gabel"," fork"
"723	"," die Gans"," goose"
"724	"," die Garantie"," guarantee"
"725	"," die Garderobe"," wardrobe"
"726	"," die Gardine"," drapes, curtains"
"727	"," die Gebrauchsanweisung"," instruction manual"
"728	"," die Gefühllosigkeit"," callousness, insensitivity"
"729	"," die Geige"," violin"
"730	"," die Gelegenheit"," opportunity"
"731	"," die Gerste"," barley"
"732	"," die Geschichte"," history, story"
"733	"," die Geschwister"," brothers and sisters"
